03/16/2022 03:02:50 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93D38>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.07487497747093204], 'pre': [0.006103332535484589], 'rec': [0.46938775510204084]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.08490091332930477], 'pre': [0.008589196548631975], 'rec': [0.46987951807228917]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.05656908181038675], 'pre': [0.0061791802064960115], 'rec': [0.46511627906976744]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.07846286364886719], 'pre': [0.00962101581477576], 'rec': [0.4592326139088729]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.057752668892324575], 'pre': [0.006318669034308047], 'rec': [0.46867749419953597]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.08141286568341168], 'pre': [0.0076064226999763085], 'rec': [0.4647739221871714]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.944474213799732], 'pre': [0.012971497601715983], 'rec': [0.033866995073891626]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.19692108351927984, 'pre': 0.008198473491626954, 'rec': 0.40441922537336705}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.268693094534471, 'pre': 0.008565650709911447, 'rec': 0.36858173744102135})})
03/16/2022 03:08:02 | train |  INFO | Epoch loss: 12.14594841003418
03/16/2022 03:11:25 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93AF8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.05531763561457652], 'pre': [0.005984774244329146], 'rec': [0.4744897959183674]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.07941639557086497], 'pre': [0.008631737215074278], 'rec': [0.46987951807228917]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.04167296766054761], 'pre': [0.006178460008557915], 'rec': [0.47674418604651164]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.07612695312799712], 'pre': [0.008576528424094617], 'rec': [0.4520383693045564]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.04251788398238793], 'pre': [0.006327117334661998], 'rec': [0.4791183294663573]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.0761954577214681], 'pre': [0.007080136198381297], 'rec': [0.45636172450052576]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9468617510339087], 'pre': [0.020799529996461376], 'rec': [0.042487684729064036]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.1883012921016787, 'pre': 0.009082611917365804, 'rec': 0.4073028011482388}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.2613291498173594, 'pre': 0.010060124515813909, 'rec': 0.3708021093533167})})
03/16/2022 03:16:35 | train |  INFO | Epoch loss: 9.570161819458008
03/16/2022 03:20:04 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93EE8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.05625140746774937], 'pre': [0.005199371345627691], 'rec': [0.4477040816326531]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.07105438987855084], 'pre': [0.008632000315770601], 'rec': [0.4759036144578313]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.0440899626665777], 'pre': [0.006176078790074707], 'rec': [0.48255813953488375]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.06633644880010398], 'pre': [0.008995139840889762], 'rec': [0.45443645083932854]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.04556807275808831], 'pre': [0.006341037809329881], 'rec': [0.4802784222737819]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.06600284528379798], 'pre': [0.0072938371035494816], 'rec': [0.4647739221871714]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9422842873705949], 'pre': [0.013414718218500925], 'rec': [0.04125615763546798]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.18451248774649473, 'pre': 0.008007454774820436, 'rec': 0.4067015412230169}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.2571705045666205, 'pre': 0.008418509729068314, 'rec': 0.3706633361087982})})
03/16/2022 03:25:23 | train |  INFO | Epoch loss: 7.817933082580566
03/16/2022 03:29:39 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93DC8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.04812118896117097], 'pre': [0.005112011922700055], 'rec': [0.4489795918367347]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.06222739023663813], 'pre': [0.008248645332319357], 'rec': [0.46987951807228917]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.03972661598587352], 'pre': [0.006090343575201945], 'rec': [0.47674418604651164]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.06049188102436431], 'pre': [0.008401426840420627], 'rec': [0.4520383693045564]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.041260882073680206], 'pre': [0.006339946750016718], 'rec': [0.4808584686774942]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.05888628898520349], 'pre': [0.007127869939166381], 'rec': [0.46424815983175605]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9478958600318138], 'pre': [0.011670052435749327], 'rec': [0.029556650246305417]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.17980144389982064, 'pre': 0.007570042399367772, 'rec': 0.40318642057366405}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.25365783023664684, 'pre': 0.007892154250539492, 'rec': 0.36761032472939215})})
03/16/2022 03:36:09 | train |  INFO | Epoch loss: 5.738181114196777
03/16/2022 03:40:39 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93AF8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.046993656452409736], 'pre': [0.005122121419985174], 'rec': [0.4528061224489796]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.069797537137924], 'pre': [0.008801499566962247], 'rec': [0.4819277108433735]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.03915404050527597], 'pre': [0.006175826121406975], 'rec': [0.48255813953488375]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.061681231882433886], 'pre': [0.009549742433543099], 'rec': [0.46522781774580335]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.04085150218771255], 'pre': [0.0063266421902984215], 'rec': [0.4808584686774942]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.059653474899792405], 'pre': [0.0076908352640088565], 'rec': [0.47634069400630913]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9477377460102513], 'pre': [0.011875728511410007], 'rec': [0.03694581280788178]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.1808384555822571, 'pre': 0.007934627929659254, 'rec': 0.4109521094378179}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.2539024505595492, 'pre': 0.008232695297611744, 'rec': 0.3748265334443519})})
03/16/2022 03:47:18 | train |  INFO | Epoch loss: 4.772005081176758
